Typ,Kauf,Kcur,Verkauf,Vcur,Gebuhr,Gcur,Datum,Index,Trade Gruppe,Kommentar,Trade ID
Mining,1.01326085,BTC,0.0,,0.0,,02.01.2013 10:36,38,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.07a75adee79010229cc2fc11273c80da08aabec8b60cabd7c3dd6f9f26bfe3e77
Mining,1.00485354,BTC,0.0,,0.0,,20.01.2013 10:36,39,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0ece5991a910c5d487399d8254f4b77f972a8fce64baa4fc4db4c32a49443b4ca
Einnahme,37.00000000,BTC,0.0,,0.0,,22.01.2013 09:14,40,,,1Nsy1bxMvdXhv5b6YG4xMiuEbtABhkEx1T0.0cca93bff5d2b87865637236abbfcf894043503c6a551e63c23093569f158bfef
Einzahlung,0.39533149,BTC,0.0,,0.0,,25.01.2013 14:20,41,,,18iMatmJVZWeczM2iU1jFaMpkBhtoYaPLM0.0faef95d8c955b4d647dea3a7db0594ed1972aa7b0f67f49672bfa8972569575c
Auszahlung,0.0,,1.20050000,BTC,0.0,,24.05.2013 19:27,42,,,126jQwnyroex7j95pa2g5qpmvNuPdgwcqM0.083ca6831fc3b81054e45e62d8bdc88812514542c41aa7881ee48b37275bfd97e
Einzahlung,0.00000000,BTC,0.0,,0.0,,24.05.2013 22:39,43,,,Registration
Einzahlung,1.56000000,BTC,0.0,,0.0,,28.05.2013 23:38,44,,,17MYzmLeEY3zhvbxPe36grxQs458LVqWuc0.06d9fefcc6eb7ed2a7e09b2c688bfa14b92065bd631d8ad3fbe095b209f5a0b4b
Auszahlung,0.0,,1.56000000,BTC,0.0,,29.05.2013 01:33,45,,,17MYzmLeEY3zhvbxPe36grxQs458LVqWuc0.027e98b2353ab96ad596c55f8ae79aa0b7902f0010d10b284f1e61acc8c4d51b9
Einzahlung,0.00590400,BTC,0.0,,0.0,,29.05.2013 02:01,46,,,17MYzmLeEY3zhvbxPe36grxQs458LVqWuc0.0d0841f24267aa616f81581844f23296298aa45d1eeb3dbe61cfef27882a9ae5d
Auszahlung,0.0,,0.00590400,BTC,0.0,,29.05.2013 05:11,47,,,17MYzmLeEY3zhvbxPe36grxQs458LVqWuc0.0f942aba29ff303c9749bf147fd1c69be6abaa5f1c7be7ee8e02bb83b4e885ccc
